,Stadtteil,Latitude,Longitude
0,Allach,48.1959936,11.4570128
1,Altschwabing,48.1512855,11.572806
2,Altstadt,48.1371079,11.5753822
3,Am Hart,48.1959252,11.5718148
4,Am Moosfeld,48.1338665,11.6663093
5,Am Riesenfeld,48.1791699,11.5541431
6,Au,48.1287534,11.5861193
7,Aubing,48.1584371,11.4140662
8,Berg am Laim,48.1234833,11.6334511
9,Bogenhausen,48.1547823,11.6334838
10,Daglfing,48.1496375,11.6493051
11,Denning,48.1504019,11.6416432
12,Englschalking,48.1579231,11.6426305
13,Fasangarten,48.0919448,11.596473
14,Feldmoching,48.2138036,11.5412753
15,Forstenried,48.0848354,11.4944766
16,Freiham,48.1366708,11.4032274
17,Freimann,48.1919577,11.6142748
18,Fürstenried,48.0889107,11.4804702
19,Hadern,48.118064,11.4818417
20,Haidhausen,48.1326788,11.6032448
21,Harlaching,48.0882932,11.5650783
22,Hasenbergl,48.2134294,11.5549136
23,Holzapfelkreuth,48.116315,11.5018378
24,Isarvorstadt,48.1303398,11.5733658
25,Johanneskirchen,48.1692948,11.649074
26,Laim,48.1395506,11.5021658
27,Langwied,48.1813564,11.4222561
28,Lehel,48.1396562,11.5879211
29,Lochhausen,48.1801726,11.405779
30,Ludwigsvorstadt,48.1317712,11.5558087
31,Maxvorstadt,48.1510916,11.5624179
32,Milbertshofen,48.1809043,11.5731525
33,Mittersendling,48.1097457,11.5378216
34,Moosach,48.1798949,11.5105712
35,Neuhausen,48.1542217,11.5315172
36,Nord Schwabing,48.1842278,11.5921743
37,Nymphenburg,48.1571237,11.5097031
38,Oberföhring,48.1719489,11.6261939
39,Obergiesing,48.1111557,11.5889093
40,Obermenzing,48.16257,11.4693724
41,Obersendling,48.097802,11.5208073
42,Pasing,48.1477854,11.4607008
43,Perlach,48.1000997,11.6306502
44,Ramersdorf,48.1139165,11.6156989
45,Riem,48.1439688,11.6777725
46,Schwabing,48.1700887,11.5884858
47,Schwanthalerhöhe,48.1337822,11.5410566
48,Sendling,48.1180125,11.5390832
49,Solln,48.0765906,11.5180779
50,Steinhausen,48.1378093,11.6124016
51,Thalkirchen,48.1028401,11.5459789
52,Trudering,48.1260355,11.6633383
53,Untergiesing,48.1149632,11.5701894
54,Untermenzing,48.1768839,11.4760583
55,Untersendling,48.1216008,11.5408383
56,West Schwabing,48.1700887,11.5884858
57,Zamdorf,48.1416488,11.6386017
